Symbol,MarketCap,Name,LastSale,IPOyear,Sector,industry,Summary Quote
AXP,$78.16B,American Express Company,88.42,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/axp
AFG,$8.99B,"American Financial Group, Inc.",102.17,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afg
AFGE,n/a,"American Financial Group, Inc.",26.29,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afge
AFGH,n/a,"American Financial Group, Inc.",26.78,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afgh
AMH,$5.71B,American Homes 4 Rent,21.92,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amh
AMH^A,n/a,American Homes 4 Rent,28.5,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amh^a
AMH^B,n/a,American Homes 4 Rent,28.5301,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^b
AMH^C,n/a,American Homes 4 Rent,28.52,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^c
AMH^D,n/a,American Homes 4 Rent,26.8364,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^d
AMH^E,n/a,American Homes 4 Rent,26.49,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^e
AMH^F,n/a,American Homes 4 Rent,25.44,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^f
AMH^G,n/a,American Homes 4 Rent,25.43,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^g
AIG,$54.66B,"American International Group, Inc.",60.5,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/aig
AIG.WS,n/a,"American International Group, Inc.",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aig.ws
AMID,$683.23M,"American Midstream Partners, LP",13.2,2011,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/amid
ARL,$134.2M,"American Realty Investors, Inc.",8.65,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/arl
ARA,$475.85M,"American Renal Associates Holdings, Inc",15.21,2016,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/ara
AWR,$1.87B,American States Water Company,51.15,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/awr
AMT,$59.83B,American Tower Corporation (REIT),139.4,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amt
AMT^B,n/a,American Tower Corporation (REIT),123.43,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amt^b
AVD,$638.86M,American Vanguard Corporation,21.45,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/avd
AWK,$14.58B,American Water Works,81.79,2008,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/awk
APU,$4B,"AmeriGas Partners, L.P.",43,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/apu
AMP,$21.31B,"AMERIPRISE FINANCIAL SERVICES, INC.",142.12,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amp
ABC,$17.61B,AmerisourceBergen Corporation (Holding Co),80.38,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/abc
ANFI,$183.7M,Amira Nature Foods Ltd,5.83,2012,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/anfi
AMN,$1.96B,AMN Healthcare Services Inc,40.9,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/amn
AP,$214.45M,Ampco-Pittsburgh Corporation,17.35,n/a,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/ap
APH,$25.39B,Amphenol Corporation,83.14,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aph
BETR,$510.34M,"Amplify Snack Brands, inc.",6.65,2015,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/betr
AXR,$56.62M,AMREP Corporation,7,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/axr
AME,$15.26B,"AMTEK, Inc.",66.11,n/a,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/ame
AFSI^A,n/a,"AmTrust Financial Services, Inc.",24.18,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^a
AFSI^B,n/a,"AmTrust Financial Services, Inc.",24.3,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^b
AFSI^C,n/a,"AmTrust Financial Services, Inc.",24.9,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^c
AFSI^D,n/a,"AmTrust Financial Services, Inc.",24.75,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^d
AFSI^E,n/a,"AmTrust Financial Services, Inc.",25.4163,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^e
AFSI^F,n/a,"AmTrust Financial Services, Inc.",23.39,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^f
AFSS,n/a,"AmTrust Financial Services, Inc.",25.21,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afss
AFST,n/a,"AmTrust Financial Services, Inc.",25.77,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afst
AEUA,n/a,Anadarko Petroleum Corporation,36.72,2015,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aeua
APC,$27.17B,Anadarko Petroleum Corporation,48.49,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apc
ANDV,$16.29B,Andeavor,103.81,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/andv
ANDX,$5.14B,Andeavor Logistics LP,47.63,2011,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/andx
AU,$3.75B,AngloGold Ashanti Limited,9.19,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/au
BUD,$226.18B,Anheuser-Busch Inbev SA,116.98,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/bud
AXE,$2.64B,Anixter International Inc.,79.45,n/a,Consumer Non-Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/axe
NLY,$13.44B,Annaly Capital Management Inc,12.35,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/nly
NLY^C,n/a,Annaly Capital Management Inc,25.33,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^c
NLY^D,n/a,Annaly Capital Management Inc,25.3704,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^d
NLY^E,n/a,Annaly Capital Management Inc,25.3,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^e
NLY^F,n/a,Annaly Capital Management Inc,25.392,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^f
AMGP,$3.64B,Antero Midstream GP LP,19.54,2017,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/amgp
AM,$5.83B,Antero Midstream Partners LP,31.22,2014,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/am
AR,$6.23B,Antero Resources Corporation,19.75,2013,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ar
ANTM,$48.18B,"Anthem, Inc.",183.5,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/antm
ANTX,$13.62B,"Anthem, Inc.",51.39,2015,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/antx
ANH,$596.04M,Anworth Mortgage Asset  Corporation,6.11,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/anh
ANH^A,n/a,Anworth Mortgage Asset  Corporation,26.42,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^a
ANH^B,n/a,Anworth Mortgage Asset  Corporation,29.73,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^b
ANH^C,n/a,Anworth Mortgage Asset  Corporation,25.4,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^c
AON,$36.86B,Aon plc,144.94,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/aon
APA,$16.52B,Apache Corporation,43.36,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apa
AIV,$7.05B,Apartment Investment and Management Company,44.89,1994,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiv
AIV^A,n/a,Apartment Investment and Management Company,26.76,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aiv^a
ARI,$1.93B,Apollo Commercial Real Estate Finance,18.26,2009,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ari
ARI^C,n/a,Apollo Commercial Real Estate Finance,25.6,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ari^c
APO,$12.42B,"Apollo Global Management, LLC",30.33,2011,Finance,Investment Managers,http://www.nasdaq.com/symbol/apo
APO^A,n/a,"Apollo Global Management, LLC",26.16,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apo^a
AIB.CL,n/a,Apollo Investment Corporation,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aib.cl
AIY,n/a,Apollo Investment Corporation,26.17,2013,n/a,n/a,http://www.nasdaq.com/symbol/aiy
AFT,$257.27M,Apollo Senior Floating Rate Fund Inc.,16.52,2011,n/a,n/a,http://www.nasdaq.com/symbol/aft
AIF,$232.58M,Apollo Tactical Income Fund Inc.,16.08,2013,n/a,n/a,http://www.nasdaq.com/symbol/aif
APLE,$4.16B,"Apple Hospitality REIT, Inc.",18.64,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aple
AIT,$2.39B,"Applied Industrial Technologies, Inc.",61.5,n/a,Consumer Durables,Industrial Specialties,http://www.nasdaq.com/symbol/ait
ATR,$5.4B,"AptarGroup, Inc.",86.15,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/atr
WTR,$5.95B,"Aqua America, Inc.",33.49,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/wtr
WAAS,$374.03M,AquaVenture Holdings Limited,14.15,2016,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/waas
ARMK,$10B,Aramark,40.8,2013,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/armk
ABR,$492.03M,Arbor Realty Trust,8.02,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/abr
ABR^A,n/a,Arbor Realty Trust,25.43,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abr^a
ABR^B,n/a,Arbor Realty Trust,25.36,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abr^b
ABR^C,n/a,Arbor Realty Trust,26.45,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abr^c
